,,,,,,,,,,,,,
,IMG_NO,"이미지 (전, 좌, 후, 우)",,,,공식 제품 명,장난감 종류,소재,부품이 모두 있는가,오염도,기부 가능 여부 (리사이클링),일부 재활용 가능 여부 (업사이클링),리사이클링 또는 업사이클링 불가 이유
,0586,img_0586_front,img_0586_left,img_0586_rear,img_0586_right,,,,,,,,
,0587,img_0587_front,img_0587_left,img_0587_rear,img_0587_right,,,,,,,,
,0588,img_0588_front,img_0588_left,img_0588_rear,img_0588_right,,,,,,,,
,0589,img_0589_front,img_0589_left,img_0589_rear,img_0589_right,,,,,,,,
,0590,img_0590_front,img_0590_left,img_0590_rear,img_0590_right,,,,,,,,
,0591,img_0591_front,img_0591_left,img_0591_rear,img_0591_right,,,,,,,,
,0592,img_0592_front,img_0592_left,img_0592_rear,img_0592_right,,,,,,,,
,0593,img_0593_front,img_0593_left,img_0593_rear,img_0593_right,,,,,,,,
,0594,img_0594_front,img_0594_left,img_0594_rear,img_0594_right,,,,,,,,
,0595,img_0595_front,img_0595_left,img_0595_rear,img_0595_right,,,,,,,,
,0596,img_0596_front,img_0596_left,img_0596_rear,img_0596_right,,,,,,,,
,0597,img_0597_front,img_0597_left,img_0597_rear,img_0597_right,,,,,,,,
,0598,img_0598_front,img_0598_left,img_0598_rear,img_0598_right,,,,,,,,
,0599,img_0599_front,img_0599_left,img_0599_rear,img_0599_right,,,,,,,,
,0600,img_0600_front,img_0600_left,img_0600_rear,img_0600_right,,,,,,,,
,0601,img_0601_front,img_0601_left,img_0601_rear,img_0601_right,,,,,,,,
,0602,img_0602_front,img_0602_left,img_0602_rear,img_0602_right,,,,,,,,
,0603,img_0603_front,img_0603_left,img_0603_rear,img_0603_right,,,,,,,,
,0604,img_0604_front,img_0604_left,img_0604_rear,img_0604_right,,,,,,,,
,0605,img_0605_front,img_0605_left,img_0605_rear,img_0605_right,,,,,,,,
,0606,img_0606_front,img_0606_left,img_0606_rear,img_0606_right,,,,,,,,
,0607,img_0607_front,img_0607_left,img_0607_rear,img_0607_right,,,,,,,,
,0608,img_0608_front,img_0608_left,img_0608_rear,img_0608_right,,,,,,,,
,0609,img_0609_front,img_0609_left,img_0609_rear,img_0609_right,,,,,,,,
,0610,img_0610_front,img_0610_left,img_0610_rear,img_0610_right,,,,,,,,
,0611,img_0611_front,img_0611_left,img_0611_rear,img_0611_right,,,,,,,,
,0612,img_0612_front,img_0612_left,img_0612_rear,img_0612_right,,,,,,,,
,0613,img_0613_front,img_0613_left,img_0613_rear,img_0613_right,,,,,,,,
,0614,img_0614_front,img_0614_left,img_0614_rear,img_0614_right,,,,,,,,
,0615,img_0615_front,img_0615_left,img_0615_rear,img_0615_right,,,,,,,,
,0616,img_0616_front,img_0616_left,img_0616_rear,img_0616_right,,,,,,,,
,0617,img_0617_front,img_0617_left,img_0617_rear,img_0617_right,,,,,,,,
,0618,img_0618_front,img_0618_left,img_0618_rear,img_0618_right,,,,,,,,
,0619,img_0619_front,img_0619_left,img_0619_rear,img_0619_right,,,,,,,,
,0620,img_0620_front,img_0620_left,img_0620_rear,img_0620_right,,,,,,,,
,0621,img_0621_front,img_0621_left,img_0621_rear,img_0621_right,,,,,,,,
,0622,img_0622_front,img_0622_left,img_0622_rear,img_0622_right,,,,,,,,
,0623,img_0623_front,img_0623_left,img_0623_rear,img_0623_right,,,,,,,,
,0624,img_0624_front,img_0624_left,img_0624_rear,img_0624_right,,,,,,,,
,0625,img_0625_front,img_0625_left,img_0625_rear,img_0625_right,,,,,,,,
,0626,img_0626_front,img_0626_left,img_0626_rear,img_0626_right,,,,,,,,
,0627,img_0627_front,img_0627_left,img_0627_rear,img_0627_right,,,,,,,,
,0628,img_0628_front,img_0628_left,img_0628_rear,img_0628_right,,,,,,,,
,0629,img_0629_front,img_0629_left,img_0629_rear,img_0629_right,,,,,,,,
,0630,img_0630_front,img_0630_left,img_0630_rear,img_0630_right,,,,,,,,
,0631,img_0631_front,img_0631_left,img_0631_rear,img_0631_right,,,,,,,,
,0632,img_0632_front,img_0632_left,img_0632_rear,img_0632_right,,,,,,,,
,0633,img_0633_front,img_0633_left,img_0633_rear,img_0633_right,,,,,,,,
,0634,img_0634_front,img_0634_left,img_0634_rear,img_0634_right,,,,,,,,
,0635,img_0635_front,img_0635_left,img_0635_rear,img_0635_right,,,,,,,,
,0636,img_0636_front,img_0636_left,img_0636_rear,img_0636_right,,,,,,,,
,0637,img_0637_front,img_0637_left,img_0637_rear,img_0637_right,,,,,,,,
,0638,img_0638_front,img_0638_left,img_0638_rear,img_0638_right,,,,,,,,
,0639,img_0639_front,img_0639_left,img_0639_rear,img_0639_right,,,,,,,,
,0640,img_0640_front,img_0640_left,img_0640_rear,img_0640_right,,,,,,,,
,0641,img_0641_front,img_0641_left,img_0641_rear,img_0641_right,,,,,,,,
,0642,img_0642_front,img_0642_left,img_0642_rear,img_0642_right,,,,,,,,
,0643,img_0643_front,img_0643_left,img_0643_rear,img_0643_right,,,,,,,,
,0644,img_0644_front,img_0644_left,img_0644_rear,img_0644_right,,,,,,,,
,0645,img_0645_front,img_0645_left,img_0645_rear,img_0645_right,,,,,,,,
,0646,img_0646_front,img_0646_left,img_0646_rear,img_0646_right,,,,,,,,
,0647,img_0647_front,img_0647_left,img_0647_rear,img_0647_right,,,,,,,,
,0648,img_0648_front,img_0648_left,img_0648_rear,img_0648_right,,,,,,,,
,0649,img_0649_front,img_0649_left,img_0649_rear,img_0649_right,,,,,,,,
,0650,img_0650_front,img_0650_left,img_0650_rear,img_0650_right,,,,,,,,
,0651,img_0651_front,img_0651_left,img_0651_rear,img_0651_right,,,,,,,,
,0652,img_0652_front,img_0652_left,img_0652_rear,img_0652_right,,,,,,,,
,0653,img_0653_front,img_0653_left,img_0653_rear,img_0653_right,,,,,,,,
,0654,img_0654_front,img_0654_left,img_0654_rear,img_0654_right,,,,,,,,
,0655,img_0655_front,img_0655_left,img_0655_rear,img_0655_right,,,,,,,,
,0656,img_0656_front,img_0656_left,img_0656_rear,img_0656_right,,,,,,,,
,0657,img_0657_front,img_0657_left,img_0657_rear,img_0657_right,,,,,,,,
,0658,img_0658_front,img_0658_left,img_0658_rear,img_0658_right,,,,,,,,
,0659,img_0659_front,img_0659_left,img_0659_rear,img_0659_right,,,,,,,,
,0660,img_0660_front,img_0660_left,img_0660_rear,img_0660_right,,,,,,,,
,0661,img_0661_front,img_0661_left,img_0661_rear,img_0661_right,,,,,,,,
,0662,img_0662_front,img_0662_left,img_0662_rear,img_0662_right,,,,,,,,
,0663,img_0663_front,img_0663_left,img_0663_rear,img_0663_right,,,,,,,,
,0664,img_0664_front,img_0664_left,img_0664_rear,img_0664_right,,,,,,,,
,0665,img_0665_front,img_0665_left,img_0665_rear,img_0665_right,,,,,,,,
,0666,img_0666_front,img_0666_left,img_0666_rear,img_0666_right,,,,,,,,
,0667,img_0667_front,img_0667_left,img_0667_rear,img_0667_right,,,,,,,,
,0668,img_0668_front,img_0668_left,img_0668_rear,img_0668_right,,,,,,,,
,0669,img_0669_front,img_0669_left,img_0669_rear,img_0669_right,,,,,,,,
,0670,img_0670_front,img_0670_left,img_0670_rear,img_0670_right,,,,,,,,
,0671,img_0671_front,img_0671_left,img_0671_rear,img_0671_right,,,,,,,,
,0672,img_0672_front,img_0672_left,img_0672_rear,img_0672_right,,,,,,,,
,0673,img_0673_front,img_0673_left,img_0673_rear,img_0673_right,,,,,,,,
,0674,img_0674_front,img_0674_left,img_0674_rear,img_0674_right,,,,,,,,
,0675,img_0675_front,img_0675_left,img_0675_rear,img_0675_right,,,,,,,,
,0676,img_0676_front,img_0676_left,img_0676_rear,img_0676_right,,,,,,,,
,0677,img_0677_front,img_0677_left,img_0677_rear,img_0677_right,,,,,,,,
,0678,img_0678_front,img_0678_left,img_0678_rear,img_0678_right,,,,,,,,
,0679,img_0679_front,img_0679_left,img_0679_rear,img_0679_right,,,,,,,,
,0680,img_0680_front,img_0680_left,img_0680_rear,img_0680_right,,,,,,,,
,0681,img_0681_front,img_0681_left,img_0681_rear,img_0681_right,,,,,,,,
,0682,img_0682_front,img_0682_left,img_0682_rear,img_0682_right,,,,,,,,
,0683,img_0683_front,img_0683_left,img_0683_rear,img_0683_right,,,,,,,,
,0684,img_0684_front,img_0684_left,img_0684_rear,img_0684_right,,,,,,,,
,0685,img_0685_front,img_0685_left,img_0685_rear,img_0685_right,,,,,,,,
,0686,img_0686_front,img_0686_left,img_0686_rear,img_0686_right,,,,,,,,
,0687,img_0687_front,img_0687_left,img_0687_rear,img_0687_right,,,,,,,,
,0688,img_0688_front,img_0688_left,img_0688_rear,img_0688_right,,,,,,,,
,0689,img_0689_front,img_0689_left,img_0689_rear,img_0689_right,,,,,,,,
,0690,img_0690_front,img_0690_left,img_0690_rear,img_0690_right,,,,,,,,
,0691,img_0691_front,img_0691_left,img_0691_rear,img_0691_right,,,,,,,,
,0692,img_0692_front,img_0692_left,img_0692_rear,img_0692_right,,,,,,,,
,0693,img_0693_front,img_0693_left,img_0693_rear,img_0693_right,,,,,,,,
,0694,img_0694_front,img_0694_left,img_0694_rear,img_0694_right,,,,,,,,
,0695,img_0695_front,img_0695_left,img_0695_rear,img_0695_right,,,,,,,,
,0696,img_0696_front,img_0696_left,img_0696_rear,img_0696_right,,,,,,,,
,0697,img_0697_front,img_0697_left,img_0697_rear,img_0697_right,,,,,,,,
,0698,img_0698_front,img_0698_left,img_0698_rear,img_0698_right,,,,,,,,
,0699,img_0699_front,img_0699_left,img_0699_rear,img_0699_right,,,,,,,,
,0700,img_0700_front,img_0700_left,img_0700_rear,img_0700_right,,,,,,,,
,0701,img_0701_front,img_0701_left,img_0701_rear,img_0701_right,,,,,,,,
,0702,img_0702_front,img_0702_left,img_0702_rear,img_0702_right,,,,,,,,
,0703,img_0703_front,img_0703_left,img_0703_rear,img_0703_right,,,,,,,,
,0704,img_0704_front,img_0704_left,img_0704_rear,img_0704_right,,,,,,,,
,0705,img_0705_front,img_0705_left,img_0705_rear,img_0705_right,,,,,,,,
,0706,img_0706_front,img_0706_left,img_0706_rear,img_0706_right,,,,,,,,
,0707,img_0707_front,img_0707_left,img_0707_rear,img_0707_right,,,,,,,,
,0708,img_0708_front,img_0708_left,img_0708_rear,img_0708_right,,,,,,,,
,0709,img_0709_front,img_0709_left,img_0709_rear,img_0709_right,,,,,,,,
,0710,img_0710_front,img_0710_left,img_0710_rear,img_0710_right,,,,,,,,
,0711,img_0711_front,img_0711_left,img_0711_rear,img_0711_right,,,,,,,,
,0712,img_0712_front,img_0712_left,img_0712_rear,img_0712_right,,,,,,,,
,0713,img_0713_front,img_0713_left,img_0713_rear,img_0713_right,,,,,,,,
,0714,img_0714_front,img_0714_left,img_0714_rear,img_0714_right,,,,,,,,
,0715,img_0715_front,img_0715_left,img_0715_rear,img_0715_right,,,,,,,,
,0716,img_0716_front,img_0716_left,img_0716_rear,img_0716_right,,,,,,,,
,0717,img_0717_front,img_0717_left,img_0717_rear,img_0717_right,,,,,,,,
,0718,img_0718_front,img_0718_left,img_0718_rear,img_0718_right,,,,,,,,
,0719,img_0719_front,img_0719_left,img_0719_rear,img_0719_right,,,,,,,,
,0720,img_0720_front,img_0720_left,img_0720_rear,img_0720_right,,,,,,,,
,0721,img_0721_front,img_0721_left,img_0721_rear,img_0721_right,,,,,,,,
,0722,img_0722_front,img_0722_left,img_0722_rear,img_0722_right,,,,,,,,
,0723,img_0723_front,img_0723_left,img_0723_rear,img_0723_right,,,,,,,,
,0724,img_0724_front,img_0724_left,img_0724_rear,img_0724_right,,,,,,,,
,0725,img_0725_front,img_0725_left,img_0725_rear,img_0725_right,,,,,,,,
